"filename", "language", "CMake", "C++", "JSON", "CMake Cache", "XML", "YAML", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\staff\CMakeLists.txt", "CMake", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\jghig\cxxprojects\staff\CMakePresets.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 1, 45
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\cache-v2-3344bfe3e4fbb74d0133.json", "JSON", 0, 0, 1063, 0, 0, 0, 0, 1, 1064
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\cmakeFiles-v1-793f2d9ca331240d2f1c.json", "JSON", 0, 0, 500, 0, 0, 0, 0, 1, 501
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\codemodel-v2-2aa2d87986aec42793b7.json", "JSON", 0, 0, 264, 0, 0, 0, 0, 1, 265
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\directory-.-MinSizeRel-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\directory-.-RelWithDebInfo-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\directory-.-Release-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\index-2025-10-23T14-14-19-0482.json", "JSON", 0, 0, 133, 0, 0, 0, 0, 1, 134
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-ALL_BUILD-Debug-52abb4f0ae73211f30cb.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-ALL_BUILD-MinSizeRel-52abb4f0ae73211f30cb.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-ALL_BUILD-RelWithDebInfo-52abb4f0ae73211f30cb.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-ALL_BUILD-Release-52abb4f0ae73211f30cb.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-ZERO_CHECK-Debug-ff37501279dfcf676e97.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-ZERO_CHECK-MinSizeRel-ff37501279dfcf676e97.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-ZERO_CHECK-RelWithDebInfo-ff37501279dfcf676e97.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-ZERO_CHECK-Release-ff37501279dfcf676e97.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-staff-Debug-1203b2794a8e9bb29a96.json", "JSON", 0, 0, 137, 0, 0, 0, 0, 1, 138
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-staff-MinSizeRel-661cbcccd548c810a959.json", "JSON", 0, 0, 137, 0, 0, 0, 0, 1, 138
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-staff-RelWithDebInfo-b9cbfeb7201ddfd6c6be.json", "JSON", 0, 0, 137, 0, 0, 0, 0, 1, 138
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\target-staff-Release-c5f1ac89c1c08c9e333e.json", "JSON", 0, 0, 137, 0, 0, 0, 0, 1, 138
"c:\Users\jghig\cxxprojects\staff\build\.cmake\api\v1\reply\toolchains-v1-7957fc096383d808df93.json", "JSON", 0, 0, 58, 0, 0, 0, 0, 1, 59
"c:\Users\jghig\cxxprojects\staff\build\ALL_BUILD.vcxproj", "XML", 0, 0, 0, 0, 185, 0, 0, 0, 185
